message,label
"Nomor HP 088888888888, COIN PULSA Anda: +2000. SEGERA Ambil di *101*11# Sebelum Hangus! Bisa Anda Tukar Jadi PULSA . Hub *101*11# dan Pilih 1 YA",1    
Selamat Nomor 088888888888! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!,1    
Selamat Nomor 088888888888! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *888*01# dan Tukar Jadi PULSA Sebelum Hangus!,1    
Selamat Nomor 088888888888! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *123*01# dan Tukar Jadi PULSA Sebelum Hangus!,1    
Selamat Nomor 088888888888! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *101*11# dan Tukar Jadi PULSA Sebelum Hangus!,1    
Selamat Nomor 088888888888! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *500*77# dan Tukar Jadi PULSA Sebelum Hangus!,1    
"Nomor 088888888888, Per Besok 03 Aug, +1000 COIN PULSA Anda akan Hangus!

SEGERA Ambil di *500*70# dan Tukar Jadi PULSA Hari Ini!

Hub *500*70# dan Pilih 1 YA!",1    
"Selamat Nomor 088888888888

+1000 COIN PULSA
Anda Baru Saja Masuk.

SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!",1    
"4SS4L4MU 4LAIKUM
M4SYAR4K4T MAU
USAHA KR4NG M0DL
WA:082250170207
BUNG4 R3NDAH
PROS3S C3PAT",1    
"sy dr malaysia dalam masalah keluarga, sy perlukan prtolongan ncik selamatkan uang dr serakahnya istri sy utk bisnis di indo, mohon WA sy +601151409422
",1    
"Yth Bpk/Ibu
Men-dapatkan
Uan9 Subsidi 
Rp.189Juta
PIN : 717747
kllik : s.id/infopertamina3
WA  : 083113979577",1    
"anda mndptkan
subs1di pemer1ntah
Rp.189.000.000
PIN PEMEN4NG;717747
1nfo
WA;
085298223224
Buka link
bit.ly/pertamina-224",1    
"Ass,,
Slmat Anda Mendpatkan
Bantuan Subsidi
Rp.189.000.000 degan
PIN PEMEN4NG;25k47r
1nfo klik
bit.ly/pt_pertamina9677",1    
Anda dapat Rp.125.jt dari S-h-o-pe3 P1N PEMEN4NG anda (25477BLW) 1nfo klik:https://Bit.ly/infolayanan11,1    
"INFO RESMI !!!!
Selamat Anda Mndptkan
Rp.75.000.000
DARI TIKTOK CASH
KODE ID (KBR99D7)
Silakan Chat Kmi
Whatsapp; 082290282636
bit.ly/tiktokcash-36",1    
"Permisi,Bpk/Ibu
Siapa Tahu Butuh Dana,
UNTUK KEMBANGKAN USAHA
& Kebutuhan Lain
Min 5jt S/D 500jt
Bunga 2%
Silakan Whatsapp
+6282290274612",1    
"Nomor HP 088888888888, COIN PULSA: +2000. SEGERA Ambil di *500*75# Sebelum Hangus! *Bisa Kamu Tukar Jadi PULSA / KUOTA 1GB lho!

Hub *500*75# dan Pilih 1 YA!",1    
"Info Resmi Kepada Bapak/Ibu Yth !!!
Nomor Rek BRI Anda Mendapat GIRO Rp.37.000.000,-.
N0.UND1 (021294)
Info Jelasnya Di:
https://bit.ly/Piezta-BRI2021",1    
And4 d4p4t 189.jt D4ri subs1di pem3rint4h K0de and4 (717747) 1nfo klik. s.id/perta-mina37,1    
